,Name,style,IBU,ABV,Description
151,StoutBoiz,Stout - Imperial / Double Oatmeal,35 IBU,14.3% ABV,"The OG of our Pastry Stouts! ""Stoutboiz"", based off our award winning Oatmeal Stout and scaled up to 14%. Conditioned with a big blend of milk and dark"
157,Laps Around the Sun,IPA - Triple New England / Hazy,105 IBU,10% ABV,"""LAPS AROUND THE SUN"" is a New England Style Triple IPA Whirpool ? Hopped with an Obnoxious Amount of Azacca, Simcoe, and El Dorado... We Dry Hopped this"
225,Take Me To Tampa,Stout - Imperial / Double,30 IBU,14.5% ABV,"2019 Vintage:Imperial Stout aged on Knob Creek Single Barrel Select with Coconut, Nibs, Rostovs Swiss Chocolate Macadamia nut coffee, and Maple syrup."
228,Sugar Diamond+Wood,Barleywine - English,40 IBU,16% ABV,Sugar Diamonds aged in small format Balcones Corn Whiskey Barrel with Michter U
229,Prolyferous (Rye Whiskey Vanilla),Stout - Imperial / Double Milk,30 IBU,14.5% ABV,Prolyferous is the rebrand name of our base oatmeal milk stout that we have dialed in over the last 2 years. This version was aged in Rye Whiskey barrels
231,Harshmallow Mandjee,Stout - Imperial / Double,40 IBU,14.5% ABV,"We love Marshmallow Handjee so much we tried to make our own. Knob Creek Bourbon Barrel stout with Nibs, Vanilla Beans, and a ton of Marshmallows. Got"
232,Slide,Porter - Imperial / Double,30 IBU,11.5% ABV,"Balcones Corn Whiskey Barrel Aged Imperial Porter with Rostovs Crème Brule Coffee, Pecans, and M"
236,Maple Morning Grind,Porter - Imperial / Double,30 IBU,11.5% ABV,"Balcones Corn Whiskey aged Imperial Porter with Rostovs French Vanilla Coffee, Maple syrup, a"
247,Chaos You Came For,Stout - Imperial / Double Milk,30 IBU,10.5% ABV,"Imperial Milk Stout with Chocolate, Vanilla, Maple, and Bellator Cinnamon Haze"
248,Raspberry Almond Screwball,Sour - Berliner Weisse,10 IBU,4.2% ABV,"Screwball series Berliner Weisse with Raspberry puree, Almonds, "
275,Black Forest Moon (Rum Barrel Aged),Stout - Imperial / Double,90 IBU,11% ABV,"Even the mighty fall to defeat on the Black Forest Moon. Even the greatest technological terror can not stand against its forces. Sweet, dark cherry,"
276,Black Forest Moon,Stout - Imperial / Double,90 IBU,10.8% ABV,"Even the mighty fall to defeat on the Black Forest Moon. Even the greatest technological terror can not stand against its forces. Sweet, dark cherry,"
277,Bounty Hunter,Porter - Imperial / Double,79 IBU,12.7% ABV,"A toasted coconut/blueberrry/vanilla Imperial Porter is hunting you...it's watching you right now....waiting to strike! It promised ""no disintegrations"","
278,Scoundrel,Stout - Imperial / Double,85 IBU,13.8% ABV,"A Smoked Imperial Breakfast Stout with coffee, chocolate and maple syrup. Smoke fills the mouth, like standing in front of an open fire on a cold morning...the"
279,Vader’s Pyre,Stout - Imperial / Double,93 IBU,12.8% ABV,"A smoked Imperial Stout, with marshmallows and cinder toffee. The perfect accompaniment to bonfire night...or the immolation of your dark side seduced"
280,Kessel Run,Porter - Imperial / Double,54 IBU,13.1% ABV,"A peanut butter/jelly Porter. Redolent of sepia-tinged childhood, playing army with your mates on those endless summer days when you were 9....back home"
281,"""It's a Trappist!""",Belgian Quadrupel,39 IBU,10.1% ABV,Hints of liquorice give way to figs and dried fruit. Rich malts and chewy toffee with a velvety mouthfeel...a
282,Emperor's Black Heart: Episode II,Stout - Imperial / Double,109 IBU,14.2% ABV,"A return to the dark side. A huge Damson Chocolate Imperial Stout. Black as the Emperor's heart and as seductive as it is evil...remember, you are not"
283,Fly Casual,Stout - Imperial / Double,101 IBU,11% ABV,"Thick dark chocolate coats the mouth, rich and decadent. Pineapple acidity creeps along the palate refreshing, cleansing, preparing you for the next sip."
284,Imperial Guard,Stout - Imperial / Double,97 IBU,11.4% ABV,"A sour cherry, chocolate Imperial Stout....the Imperial Guard are The Emperor's personal protection. Of all the troops, these are the very best of the"
285,Bith Please,Barleywine - American,63 IBU,11.5% ABV,"My homage to Brewdog's Bitch Please. Warm, boozy and smoky aspects of an Islay scotch whisky with the sweet malt and devastatingly rich attributes of"
286,Smoking Gun,Stout - Imperial / Double,102 IBU,12.8% ABV,"With smoked malt making up the majority of the grain bill, this is a big, smoky beast of a beer! Cacao nibs and maple syrup in the secondary, with a huge"
287,Boba Brett,Belgian Quadrupel,38 IBU,11.5% ABV,"A bretted, sour Belgian Quad....weird. Interesting."
288,Emperor's Black Heart,Stout - Russian Imperial,105 IBU,13.7% ABV,Damson Chocolate Imperial Russian Stout. Like a damson chocolate gateaux...pu
289,Hokey Religion,Stout - Imperial / Double,85 IBU,12.6% ABV,"Dark Chocolate & Toasted Coconut Imperial Stout. 1kg of toasted coconut in 20l of beer, which spent 8 weeks in an oak cask sitting on 600g of spiced rum"
293,Imperial Assault,Stout - Imperial / Double,38 IBU,11.5% ABV,"Aged 9 months in a Jack Daniels bourbon cask, this beer is not for the timid. Dark malt and complex hops, slightly sour with an enormous bourbon assault!"
294,Tarkin's Slave,Belgian Quadrupel,39 IBU,10.6% ABV,"...before the rebellion, when the Empire ruled with absolute authority, Gial Ackbar was a slave. Through his many long years of bondage he learned from"
295,Vader's Revenge,Barleywine - Other,87 IBU,12.4% ABV,"A raspberry, ginger and smoked morita chilli barley wine. Huge raspberry fruit at the start followed by a sneaking heat from the chilli...alcohol is well"
296,Rusty Innards,Stout - Imperial / Double,86 IBU,13% ABV,"Thick, luscious dark chocolate giving way to rich, grainy coffee...but wait, what’s this? The heat is starting to build. Smoky Morita chilli prickles"
297,Nerf Herder,Stout - Imperial / Double,104 IBU,12% ABV,"An Imperial Mocha Stout. Deep mocha aroma. In the mouth...a huge, creamy chocolate hit with a subtle roast coffee undertone. 600g of cacao nibs in the"
298,Frozen In Carbonite,Stout - Imperial / Double,92 IBU,12.4% ABV,"Rich, smoky dark chocolate gives way to sweet vanilla, with berry fruit and a hint of sour cherries. This beer will ensure you are quite well protected....if"
299,Dengar's Damson Stout,Stout - Foreign / Export,72 IBU,10% ABV,Imperial Stout racked onto gin soak
364,A Silent Pursuit,Barleywine - Other,25 IBU,13.34% ABV,"A Silent Pursuit is the first Munichwine to be bottled/released, ever. Munichwine is a new sub-style of barleywine that I have created quietly at Private"
407,Elemental,Farmhouse Ale - Saison,22 IBU,7.88% ABV,Farmhouse Ale brewed with New Jersey Farm Honey. Fermented with house wild farmhou
419,Winds & Turns,Farmhouse Ale - Saison,20 IBU,6.2% ABV,Farmhouse Ale brewed with foraged Dandelions. Fermented using house wild farmhou
443,Prong Horn,Lager - Helles,2 IBU,5% ABV,Unfiltered Barvarian-St
447,Goshawk’s Grasp,Stout - Imperial / Double Coffee,40 IBU,13.2% ABV,Imperial Stout with Coffee and Haze
448,Coconut Crown,Stout - Imperial / Double Pastry,40 IBU,14.2% ABV,"Imperial Stout with Coconut Candy, Coconut Syrup, Coconut Water, Desiccated Coconut, Shredded Coconut, and Toasted Coconut Added; collaboration with Three"
451,Nano Challa,Stout - Imperial / Double Coffee,30 IBU,12.3% ABV,Imperial Stout with Nano Challa Ethiopian Coffee and Haze
455,Another Dose,Stout - Imperial / Double Coffee,40 IBU,12% ABV,"Imperial Stout with Chocolate, Coffee, Hazelnuts, and Va"
457,Double Dose²,Stout - Imperial / Double Pastry,40 IBU,12.5% ABV,"French Oak Barrel Aged Imperial Stout with 2x Chocolate, 2x Coffee, 2x Hazelnuts, and 2x Va"
458,Oceanside’s Twelve,Stout - Other,40 IBU,14.6% ABV,Blend of Imperial Stouts Aged in Vanilla Barrels with Bourbon Madagascar Vanilla Caviar and Ugandan Vanilla 
459,Coco Dose,Stout - Imperial / Double Coffee,30 IBU,12% ABV,"Imperial Stout with Chocolate, Coffee, Hazelnuts, Toasted Coconut, and Va"
460,Dade Dolphin,Stout - Imperial / Double Pastry,40 IBU,12.2% ABV,"Imperial Stout with Coconut Candy, Coconut Sugar, Desiccated Coconut, Marshmallows, and Muscovado "
461,Pacific Porpoise,Stout - Imperial / Double,40 IBU,12.2% ABV,"Imperial Stout with Coconut Sugar, Coconut Syrup, Marshmallows, Muscovado Sugar, Raw Coconut, and Toasted Coconut F"
462,"Seagle, Not Seagull",Stout - Imperial / Double Coffee,30 IBU,14% ABV,"Imperial Stout with Coffee, Hazelnut, and Maple "
464,Baza Bonne Bouche (Purple Label),Stout - Imperial / Double Coffee,30 IBU,13.8% ABV,"Imperial Stout with Chocolate, Coffee, Graham Crackers, Marshmallows, Mixed Nuts, and Vanilla Bean Added *Red Label recalled on 9/25/2020 due to suspected"
466,Feather Pluckin’,Stout - Imperial / Double Pastry,40 IBU,12.4% ABV,"Imperial Stout with Blueberry, Chocolate, Coconut, Pecans, and Va"
467,A Christmas Friggin’ Miracle,Stout - Imperial / Double Coffee,40 IBU,16.4% ABV,"Imperial Stout with Weller Bourbon Barrel Aged Geisha Coffee, Bourbon Madagascar Vanilla Bean, and Bourbon Barrel Aged Maple Syrup Added; Collaboration"
468,Thicc Skin,Stout - Imperial / Double Pastry,30 IBU,12.6% ABV,"Imperial Stout with Chocolate, Coffee, Peanut Butter, Peanut Flour, and Vanilla"
469,Push the Boundaries (Yellow Label),Stout - Imperial / Double Coffee,32 IBU,14.8% ABV,"Imperial Stout with Almonds, Chocolate, Coffee, and Vanilla Added *Black Label recalled on 9/25/2020 due to suspecte"
471,Saison,Farmhouse Ale - Saison,25 IBU,5.5% ABV,"Our Saison is as old-world as it gets. We use 100% Colorado ingredients: Colorado water, malted and raw barley and wheat, Crystal hops and a yeast blend"
473,East Bank,Farmhouse Ale - Saison,25 IBU,6.5% ABV,We brewed a higher gravity version of Saison and added 4 gallons of local honey from across the river in the whirlpool to create East Bank. Sprinkle in
475,Fruit Stand - Blackberry,Farmhouse Ale - Saison,12 IBU,5.5% ABV,Fruit Stand series farmhouse ale on Colorado blac
479,Fruit Stand - Peach,Farmhouse Ale - Saison,12 IBU,5.5% ABV,Fruit Stand series farmhouse ale on Colora
490,Casey Family Preserves - Nectarine,Farmhouse Ale - Saison,15 IBU,6% ABV,2.2 lbs f
496,Pink Dot,Wild Ale - American,12 IBU,6.7% ABV,"Golden Wild Ale aged in oak barrels with rasberries, ginger and "
497,Green Dot,Wild Ale - American,12 IBU,5% ABV,"Golden Sour aged in Sauvignon Blanc barrels, dry hopped with Galaxy, Nelson"
498,Dot Dot Dot...,Wild Ale - American,10 IBU,8% ABV,"Dot Dot Dot... a golden sour ale aged with Empress plums, honey and a hit of peppercorns. Aged in oak 10-14 months. Tasting notes of vanilla, raisin,"
499,Silver Dot,Wild Ale - American,10 IBU,6.4% ABV,Blended Red Wild Ale aged in Italian wine Foudres for 18
500,Orange Dot,Wild Ale - American,12 IBU,6.5% ABV,Golden sour ale fermented and aged in oak barrels with roasted Cara Cara oranges and Vermont wildfl
501,Yellow Dot,Wild Ale - American,12 IBU,6.5% ABV,"Golden Sour aged in Gin barrels with Vermont wild flower honey and lavender, elderflower an"
502,Crushed Dot Cuvée,Wild Ale - American,10 IBU,10.8% ABV,Vermont Wild Ale blended with hand crushed Petite Pearl and Merlot Grapes from Shelburne Vineyard and naturally fermented in 
503,Purple Dot,Sour - Other,12 IBU,5.8% ABV,Golden Sour Ale aged in red wine barrels with blackberries and bl
504,Black Dot,Wild Ale - American,10 IBU,6.4% ABV,14 month old Wild Ale aged in oak barrels with Black Mission Figs and 
505,Red Dot,Wild Ale - American,10 IBU,6.7% ABV,Wild Ale aged in oak barrels with Balaton and Montmorency tar
506,House Dot #2,Wild Ale - American,10 IBU,6.5% ABV,House Dot #2 is a golden sour ale aged in oak barrels with Buddha Hand citrus and org
507,Pop Dot,Wild Ale - American,12 IBU,5.8% ABV,"Golden Sour aged in oak barrels with Vermont Honey, Vermont Cranberries, Hibiscus and "
508,House Dot #3-2017,Wild Ale - American,8 IBU,5.8% ABV,A blend of 8 and 12 month old Golden Sour Ale aged in Chardonnay wine barrels with fresh Pineapple. House Dot releases will be a revolving blend of flavors
509,House Dot #4 2017,Wild Ale - American,10 IBU,6.5% ABV,House Dot #4 2017 is a blend of 8 to 15 month old American Wild Ale aged in wi
510,Kusama Dot,Wild Ale - American,8 IBU,5.3% ABV,"Blended sour ale aged on mangos, toasted coconut and"
511,Perpetual Dot,Wild Ale - Other,6 IBU,5% ABV,"2 year blended Golden Wild ale fermented and aged in oak barrels with Vermont wildflower honey, Guava and Lemon peel. Bottl"
512,House Dot #1-2016,Wild Ale - American,10 IBU,6.5% ABV,House Dot #1 October 2016 is a Blended Golden Sour aged in Gin Barrels. House Dot releases will be a revolving blend of flavors and barrels. House Dot
513,Spontaneous Dot-Elderberry,Wild Ale - American,6 IBU,5% ABV,A special beer to share with you for Foam Brewers 4th Anniversary. Spontaneous Dot Elderberry is a Vermont grown beer naturally fermented and conditioned
518,House Dot #5,Wild Ale - American,10 IBU,5.2% ABV,Blended wild ale aged 12-18 months in oak barrels with Rose Hips and 
519,Close Dot,Sour - Other,10 IBU,5.8% ABV,"Brewed and fermented in oak September 2017, Close Dot is a Golden Wild Ale blended and aged in Sauvignon Blanc wine barrels in early 2019 on cut pineapple,"
521,Julius,IPA - American,72 IBU,6.8% ABV,"Bursting with pungent American hops, Julius - our flagship American IPA - is a bright, juicy beer filled with flavors and aromas of mango, peach, passionfruit,"
522,Haze,IPA - Imperial / Double,90 IBU,8.2% ABV,"Our Double IPA! We smell a ton of peach on the nose, with complimentary notes of orange and passionfruit. The flavor is similar with a blast of citrus"
523,Green,IPA - American,90 IBU,7.5% ABV,"Our cross-continental IPA! Made with Australian and American hops, this tropical heavy IPA opens up in the glass with notes of hugely flavorful notes"
524,Alter Ego,IPA - American,72 IBU,6.8% ABV,"Alter Ego is a member of the Julius family, taking the base of Julius and adding a tremendous amount of Mosaic to the dry hop with a kiss of Amarillo."
525,Doppelgänger,IPA - Imperial / Double,88 IBU,8.2% ABV,This beer is an imperial version of Alter Ego. It is intensely kettle and dry hopped to produce a pungent and flavorful Double IPA that is super pleasant
527,Sap,IPA - American,80 IBU,7.3% ABV,"Though originally brewed as a ""Christmas"" beer, this piney IPA, brewed almost exclusively Chinook hops, was so enjoyable we decided to put it into the"
528,Bright,IPA - Imperial / Double,75 IBU,7.8% ABV,Bright was created to be a clean and elegant showcase for one of our favorite hops - Mosaic! It is crafted with a simple malt bill and fermented with
529,JJJULIUSSS!,IPA - American,75 IBU,6.8% ABV,"Julius gone wild (not funky wild, like insane hop saturation wild)! For the second special edition of Julius brewed specifically for the third anniversary"
530,King Julius,IPA - Imperial / Double,85 IBU,8.2% ABV,"King Julius is an American Double IPA brewed to be an exceptionally flavorful, juicy, and hop saturated beer while never tiring the palate. Its vivid"
533,Juice Machine,IPA - Imperial / Double,70 IBU,8.2% ABV,Juice Machine was originally devised and brewed to support our very first trip to Extreme Beer Festival in 2014. It is essentially a marriage of the King
535,Very Hazy,IPA - Imperial / Double,80 IBU,8.6% ABV,"A kicked up version of Haze, our Double IPA, Very Hazy is a beer that makes us Very Happy! Very Hazy conveys all the beautiful flavors of Haze, but with"
545,That's What She Said,Stout - Milk / Sweet,28 IBU,5.6% ABV,"A sneakily complex beer, ""TWSS"" exhibits flavors of milk chocolate, dark roasted coffee, caramel, and even a hint of smoke. It is absolutely loaded with"
546,VIBRATIONS - DDH Nelson,IPA - New England / Hazy,70 IBU,6.5% ABV,"VIBRATIONS, my version on the New England IPA. This is a single IPA, not an oated to the max lactose bomb, just a simple, clean, bright, and soft IPA"
547,WAVES - Vanilla,Stout - Imperial / Double,45 IBU,13% ABV,Vanilla WAVES is the second edition to the WAVES series. Here we've taken our Waves base beer and added a significant amount Mexican and Ugandan Vanilla
548,VIBRATIONS - DDH Citra,IPA - New England / Hazy,65 IBU,6.5% ABV,"VIBRATIONS, my version on the New England IPA. This is a single IPA, not an oated to the max lactose bomb, just a simple, clean, bright, and soft IPA"
549,Dimensions of Time - 1,Stout - Imperial / Double,40 IBU,14% ABV,"Deep, rich chocolate flavor with smooth barrel character and low roast. This imperial stout has spent 15 months in a variety of barrels including 1792,"
550,Dimensions of Time - Al Young Four Roses Barrel,Stout - Imperial / Double,50 IBU,14% ABV,"I had the privilege of acquiring a Four Roses single barrel, picked and signed for good measure by the legend Al Young himself. When brewing the base"
551,WAVES - Maple,Stout - Russian Imperial,20 IBU,13% ABV,"With this iteration of WAVES, we tweaked the recipe a little to pull back on the roast and boost the sweetness. Our addition of real Maple Syrup inline"
552,Double Barrel Legacy,Stout - Russian Imperial,43 IBU,14% ABV,"Thick, chewy, sweet Russian Imperial Stout aged in Rye Whiskey Barrels that were filled with Rum, then finished in Maple Syrup Bourbon Barrels. This beer"
553,Heritage B2 (Vanilla),Stout - Imperial / Double,60 IBU,13.4% ABV,"Big, rich, viscous with notes of chocolate batter, vanilla, caramel, whiskey, and oak char. Batch 2 has copious amounts of vanilla beans added... like..."
554,Double Barrel Legacy (Vanilla),Stout - Russian Imperial,43 IBU,14% ABV,"Thick, chewy, sweet Russian Imperial Stout aged in Rye Whiskey Barrels that were filled with Rum, then finished in Maple Syrup Bourbon Barrels with Madagascar"
555,Legion XV,Stout - Russian Imperial,53 IBU,13% ABV,Russian Imperial Stout aged in an 11yr Eagle Rare Barrel with Vanilla Beans. This beer was done in col
556,Heritage B4 (Cinnamon),Stout - Imperial / Double,60 IBU,13.5% ABV,American Imperial Stout aged in bourbon barrels with Ceylo
557,Heritage B1,Stout - Imperial / Double,68 IBU,14.4% ABV,"Big, rich, viscous with notes of chocolate batter, vanilla, caramel, whiskey, an"
558,Heritage B3 (Chocolate & Maple),Stout - Imperial / Double,60 IBU,13.5% ABV,Big stout aged in bourbon barrels with cacao nibs and m
559,"DENSITY MATRIX - Riwaka, Wai-iti, Rakau",IPA - Imperial / Double New England / Hazy,25 IBU,8% ABV,DENSITY MATRIX is our base Double IPA Hazy recipe that we'll be exploring hop blends with. Light with a full body and bursting with flavor. In this batch
561,Barclay's Oude Bruin (batch 1),Sour - Flanders Oud Bruin,24 IBU,7% ABV,Oude Bruin style beer aged 2 years then aged 3 mont
564,Heady Topper,IPA - Imperial / Double,100 IBU,8% ABV,"We love hops – that’s why our flagship Double IPA, Heady Topper, is packed full of them. Heady Topper was designed to showcase the complex flavors and"
565,Focal Banger,IPA - American,90 IBU,7% ABV,American IPA with Citra & M
566,Crusher,IPA - Imperial / Double,110 IBU,8% ABV,Hop lovers take note. This American IIPA is dry-hopped 
574,Sterk Wit,Wheat Beer - Witbier / Blanche,10 IBU,7% ABV,"Gold Medal Winner – 2004 Great American Beer Festival. This double white ale is brewed with a Belgian yeast strain, plenty of coriander and curacao orange"
589,Edward,Pale Ale - American,65 IBU,5.2% ABV,"Edward (1917-2002) is our grandfather; Hill Farmstead Brewery rests upon the land that was once home to him and his five children. In his honor, this"
591,Susan,IPA - American,80 IBU,6% ABV,Susan was our grandfather's sister - in her honor we offer this version of an Am
602,Mary,Pilsner - German,60 IBU,4.6% ABV,"Mary was Edward's mother and our great-grandmother. A German-style pilsner brewed with our well water, German pilsner malt, our favorite German hops,"
608,Citra Single Hop Pale Ale,Pale Ale - American,65 IBU,5.2% ABV,"Single hop pale ale bittered, flavored and dry-hopped exclusively with "
615,Foggy Window,IPA - Imperial / Double New England / Hazy,80 IBU,8.1% ABV,"Nelson, Galaxy and extra "
620,Spock It,IPA - New England / Hazy,65 IBU,6.8% ABV,IPA featuring all G
621,Water Balloon Fighters,IPA - Imperial / Double New England / Hazy,100 IBU,8.4% ABV,"Double IPA with Mosaic, Citra, and S"
628,Really Real,IPA - Imperial / Double New England / Hazy,75 IBU,8.3% ABV,Double IPA w/ mostly 
630,Atomically,IPA - Imperial / Double New England / Hazy,70 IBU,8.3% ABV,"Double IPA with Mosaic, Galaxy"
632,Swap Meets,IPA - Imperial / Double,65 IBU,8.3% ABV,"Double IPA with Nelson, Citra, Mosaic, and G"
636,Seme Della Vita,Belgian Tripel,35 IBU,9.8% ABV,Belgian-ish Tripel with pistachios and van
639,Pseudo Sue,Pale Ale - American,45 IBU,5.8% ABV,This Citra hop pale ale is delicate in body with a mild bitterness in the finish. Ferocious hop aromas of citrus and mango give a refreshing taste that
640,King Sue,IPA - Imperial / Double New England / Hazy,100 IBU,7.8% ABV,"This full-bodied, hazy double IPA is Citra-hopped with a juicy combination of mango, orange, and pineapple flavors finishing with a grapefruit aroma and"
641,Pompeii,IPA - American,45 IBU,6.3% ABV,Brewed with the same attention to detail as the beautiful mosaics that graced the walls of prominent building in the city of Pompeii. It features mango
642,Golden Nugget,IPA - American,45 IBU,6.8% ABV,"This medium bodied IPA with moderate bitterness and light piney flavor is a combination of Golden Promise Malt, Simcoe, Amarillo and N"
643,Sosus,IPA - Imperial / Double,100 IBU,7.8% ABV,Crafted in humble tribute to the mosaic artist Sosus of Pergamon. We've showcased the Mosaic hop so you can experience the flavors of pineapple and tropical
644,"Fire, Skulls & Money",IPA - New England / Hazy,50 IBU,7.8% ABV,"This rich, hazy IPA joins Citra, Mosaic, Galaxy and Nelson Hops for a juicy combination of tropical fr"
645,Double Dry Hop Pseudo Sue,Pale Ale - New England / Hazy,45 IBU,5.8% ABV,This double dry hopped pale ale showcases the Citra hop for a well balanced beer that is delicate in body with a mild bitterness in the finish. Ferocious
646,Hopsmack!,IPA - Imperial / Double,100 IBU,7.8% ABV,"HOPSMACK! is here to rescue your palate. Giant aromas of pineapple and tropical fruit jump from this enticingly complex double IPA. true to its name,"
647,Dorothy's New World Lager,California Common,11 IBU,5% ABV,"Mildly hopped with Cascade hops, this lager is light in color and body, and clean t"
648,Scorpius Morchella,IPA - Imperial / Double,100 IBU,7.8% ABV,"Brewed each spring to celebrate our brewery’s annual day off to go morel mushroom hunting, this excitingly hazy double IPA is a tribute to our love of"
649,Supa' Sumo,IPA - Imperial / Double,100 IBU,7.8% ABV,This double India pale ale is a hazy triumph made possible by the combination of Mosaic and Citra hops giving it pineapple and orange flavors that will
650,Zeelander,IPA - American,30 IBU,6.3% ABV,"Nelson Sauvin hops from New Zealand create this delightfully earthy, floral and crisp grapefruit flavored IPA with aromas of citrus and mandarin oranges"
651,Mornin' Latte Imperial Coffee Milk Stout,Stout - Imperial / Double Milk,20 IBU,8.9% ABV,"Imperial Coffee Milk Stout brewed with lactose and a careful blend of cacao nibs giving it a dark chocolate, toasty and toasty sweet c"
