,IBU,ABV,Description,type,SRM
12,70,8.2,"Juice Machine was originally devised and brewed to support our very first trip to Extreme Beer Festival in 2014. It is essentially a marriage of the King Julius malt bill with a hopping schedule more intense than than Very Green. The use of Magnum, Columbus, Amarillo, Citra, and Galaxy creates perhaps our most complex beer with unapologetic flavors of mango, creamy orange sorbet, papaya, and passion fruit with wave after wave of juicy hop flavor. In spite of its intensity, it is pillowy soft and drinks like a true pleasure - the embodiment of the Tree House ideal of hoppy beer. Never abrasive or harsh, It is just as enjoyable on the last sip as it is on the first. It is a mess of hop flavor that takes us to a place that few other of our beers do. ItÃ¢ÂÂs hop nirvan",0,8
13,80,8.6,"A kicked up version of Haze, our Double IPA, Very Hazy is a beer that makes us Very Happy! Very Hazy conveys all the beautiful flavors of Haze, but with even greater depth and potency. Pungent grapefruit notes greet your palate while an underlying current of soft tropical fruit dances in the background. Just the right amount of bitterness balances the sweet fruit flavors while a velvety soft mouthfeel make you easily (and dangerously!) forget this one clocks in at 8.6% ABV. A huge and beautiful beer that maintains softness and delicacy",0,5
15,24,7.0,Juicy fruit and citrus are dominant in aroma and flavor with low bitterness for dangerously drinkable beer.,0,11
18,81,9.0,"Loaded for Bear - An Imperial IPA with big hop flavor and a pronounced bitterness. We brewed this IPA with Gambrinus ESB, Honey, Gambrinus Vienna and Pale Crystal malts. We added Amarillo and Fuggle hops that attribute to a balanced nose with fruit and earthy notes",0,5
20,56,7.0,"Big hops is the name of the game for this IPA, but don`t let the hoppy characteristics shy you away from this delicious IPA. Thanks to the addition of Amarillo, this hoppy IPA is a citrus bomb. We paired the Amarillo hops with a new variety of hops straight from Germany, Callista. Calllista hops attribute to the juicy flavor in this IPA. 7% ABV and 56 IB",0,9
21,56,7.0,"The classic American IPA is Ã¢ÂÂwell-made.Ã¢ÂÂ The big hop flavor and floral aroma of ygis brew comes from the generous use of Cascade and Amarillo hops. Easy drinking with a crisp, clean finish that will have you coming back for more",0,8
23,40,7.0,"The slight reddish hue comes from the use of Red X, a relatively new malt from Germany. The us of Simcoe hops smooths out the pronounced piney character from the generous dose of Centennial hops. This brew has big hop characteristics without an overwhelming bitterness",0,11
24,67,6.4,"What looks like an easy play turns into trouble when the ball makes a few extra hops than the fielder intended. The 2 Hopper has just enough hops for an IPA, but still has an easy finish to make the out",0,8
28,85,8.6,"ItÃ¢ÂÂs the bottom of the ninth, and you need someone dependable to seal the victory. Like a reliable closer, you expect your Imperial IPA to be a strong option with an arsenal of different characteristics.
3 Up, 3 Down is a lights out choice that steps up to the challenge",0,6
32,105,10.0,"""LAPS AROUND THE SUN"" is a New England Style Triple IPA Whirpool ? Hopped with an Obnoxious Amount of Azacca, Simcoe, and El Dorado... We Dry Hopped this one 3X with a Brilliant Batch of 2020 Enigma, a Newer Hop from Australia",0,9
65,38,6.4,Our IPA,0,5
108,70,6.5,"VIBRATIONS, my version on the New England IPA. This is a single IPA, not an oated to the max lactose bomb, just a simple, clean, bright, and soft IPA with tons of flavor. You can crush these. ThatÃ¢ÂÂs what it was made for. Each VIBRATIONS will focus on a single hop",0,5
110,65,6.5,"VIBRATIONS, my version on the New England IPA. This is a single IPA, not an oated to the max lactose bomb, just a simple, clean, bright, and soft IPA with tons of flavor. You can crush these. ThatÃ¢ÂÂs what it was made for. Each VIBRATIONS will focus on a single hop. In this version we explore Citra",0,5
116,25,8.0,"DENSITY MATRIX is our base Double IPA Hazy recipe that we'll be exploring hop blends with. Light with a full body and bursting with flavor. In this batch we explore the hop blend Riwaka, Wai-iti, and Rakau",0,7
123,100,8.0,"We love hops Ã¢ÂÂ thatÃ¢ÂÂs why our flagship Double IPA, Heady Topper, is packed full of them. Heady Topper was designed to showcase the complex flavors and aromas these flowers produce. The Alchemist has been brewing Heady Topper since 2003. This Double IPA is not intended to be the strongest or most bitter DIPA. It is brewed to give you wave after wave of hop flavor without any astringent bitterness. We brew Heady Topper with a proprietary blend of six hops Ã¢ÂÂ each imparting its own unique flavor and aroma. Take a big sip of Heady and see what hop flavors you can pick out. Orange? Tropical Fruit? Pink Grapefruit? Pine? Spice? There is just enough malt to give this beer some backbone, but not enough to take the hops away from the center stage",0,9
124,90,7.0,American IPA with Citra & Mosaic hops.,0,8
125,110,8.0,Hop lovers take note. This American IIPA is dry-hopped with Citra.,0,6
128,80,6.0,Susan was our grandfather's sister - in her honor we offer this version of an American IPA.,0,8
131,80,8.1,"Nelson, Galaxy and extra Citra hops.",0,8
132,65,6.8,IPA featuring all Galaxy hops.,0,9
133,100,8.4,"Double IPA with Mosaic, Citra, and Simcoe hops.",0,9
134,75,8.3,Double IPA w/ mostly Galaxy Hops,0,5
135,70,8.3,"Double IPA with Mosaic, Galaxy, and Citra",0,10
136,65,8.3,"Double IPA with Nelson, Citra, Mosaic, and Galaxy hops.",0,9
139,100,7.8,"This full-bodied, hazy double IPA is Citra-hopped with a juicy combination of mango, orange, and pineapple flavors finishing with a grapefruit aroma and ferocious bite",0,8
140,45,6.3,Brewed with the same attention to detail as the beautiful mosaics that graced the walls of prominent building in the city of Pompeii. It features mango and pineapple hop flavors with a mediaum-bodied feel to tantalize the senses,0,10
141,45,6.8,"This medium bodied IPA with moderate bitterness and light piney flavor is a combination of Golden Promise Malt, Simcoe, Amarillo and Nugget Hops.",0,5
142,100,7.8,Crafted in humble tribute to the mosaic artist Sosus of Pergamon. We've showcased the Mosaic hop so you can experience the flavors of pineapple and tropical fruit for which the Mosaic hop is know,0,5
143,50,7.8,"This rich, hazy IPA joins Citra, Mosaic, Galaxy and Nelson Hops for a juicy combination of tropical fruit flavor.",0,11
145,100,7.8,"HOPSMACK! is here to rescue your palate. Giant aromas of pineapple and tropical fruit jump from this enticingly complex double IPA. true to its name, this brew delivers a heavy smack of dry hops and a double dose of bitterness in the finish",0,8
147,100,7.8,"Brewed each spring to celebrate our breweryÃ¢ÂÂs annual day off to go morel mushroom hunting, this excitingly hazy double IPA is a tribute to our love of great hops and morels. Created with a combination of Pacific Northwest and Southern Hemisphere hops, Scorpius Morchella is meant to be shared with friends on a warm spring afternoon",0,8
148,100,7.8,This double India pale ale is a hazy triumph made possible by the combination of Mosaic and Citra hops giving it pineapple and orange flavors that will smash into your taste buds,0,10
149,30,6.3,"Nelson Sauvin hops from New Zealand create this delightfully earthy, floral and crisp grapefruit flavored IPA with aromas of citrus and mandarin oranges",0,10
151,45,6.3,"Galaxy and Warrior hops join forces to create a beer with a bitter punch. Big body, bold flavor, with a boost of citrus rind and just a kick of spiciness in the finish, Intergalactic Warrior is an India Pale Ale worth fighting for",0,11
156,50,7.8,"Sun Reaper eclipses all others with its medium body and low bitterness. with notes of pineapple, orange and passion fruit flavors up front and a layer of soft pine in the finish",0,9
157,50,7.8,"Citra hops give King Sue its bold flavors of mango, orange, and pineapple. This double dry-hopped version packs even more flavor into each bottle.",0,9
158,100,7.8,"Showcasing the alluring tropical notes of the galaxy hop, twisted galaxy is a juicy double IPA that pushes both citrus and pineapple notes to the foreground",0,9
159,45,6.3,"Mozee down a new path enjoying an exciting IPA that combines the grapefruit, kiwi & sauvignon blanc grape notes of the Nelson SauvinÃÂ® hops with hints of mango & pineapple from the MosaicÃÂ® hops. These hops were meant for each other & this beer is meant for you",0,11
160,30,7.3,"Dolphin Sparkles is our collective interpretation and re-imagining of a West Coast IPA. We've kept the malt soft, subtle, and clean in order to create the liquid translation of our favorite hops - Citra and Nelson Sauvin hops",0,6
161,45,6.7,"Mosaic, Sabro, Simco, and Amarillo hops join forces to create a bouquet of tropical citrus and pineapple aromas. This bold, hop-forward IPA captivates the senses as you raise a glass in tribute to lord NugMo. May he bless your taste buds with a bounty of flavor",0,8
162,65,6.8,"The First release in our Ã¢ÂÂNew OrthodoxÃ¢ÂÂ IPA series, M-43 is designed to accentuate the deep and complex character from the combination of Calypso, Amarillo, Citra, and Simcoe hops. Citrus and Tropical notes of Pineapple, Mango and Grapefruit come through in the huge, yet surprisingly delicate aroma. The flavor backs these aromas with a soft, pillowy mouthfeel. Hop bitterness is not particularly intense, which leads to a very drinkable, juicy IPA even non-IPA fans love. The Haze is not from yeast, but rather from an interplay of lipids from the malted oat and oils and acids which naturally occur in the hand selected Dry hops. This beer is a perfect interplay between top grade malt and hops, MI water and brewing technique which cannot be faked",0,7
163,68,9.3,"Weighing in at 9.3%, Boss Tweed is a double New England IPA with an aroma of peach, mango, tangerine. A nice pilsner malt backbone with a touch of Vienna provides balance and a lingering sweetness on the back end",0,7
164,65,7.0,"B-43 uses the same recipe hops as M-43 but no residual sugar, 3g of carbs per pint, and 7%!",0,10
165,50,9.1,"The slightly more sophisticated entry into the New Orthodox Series. On the nose, pine, flowers and citrus. On the tongue, layers of the same. That signature Old Nation snap and mouthfeel ever present",0,8
168,65,6.8,Double dry-hopped NE IPA.,0,7
169,50,10.3,"Our collaboration with our friends at Foundation Brewing in Maine! No pineapples were harmed in the making of this beer. Pilsner, Oats, and Rice lay the base down for the Michigan Chinook, Michigan Crystal, and Citra hops to run wild. You're going to have to look real hard to find the 10.3% ABV",0,9
170,72,6.8,"With the introduction of 70+ West Coast IPA (ABV 6.8%), Old Nation brings a classic, straight down the middle pilsner malt bill with a more classic aggressive 72 IBU providing the traditional bitter balance of the style. Using a combination of Columbus and Simcoe hops for their pine/resiny notes along with Amarillo for citrus and floral notes, Old NationÃ¢ÂÂs brewers added the proprietary Idaho 7 for a new-school tropical twist",0,6
180,70,8.0,"Phantasmagoria is an IPA that is low in malt flavors, but high in hops. We brew this beer as a nod to the big hoppy beers of the west coast. We use loads of citrusy and piney hops at the end of the boil and in the fermenter to make this beer a hop experience",0,10
194,53,6.2,"Our flagship IPA, A hop forward American IPA with mellow bitterness. Citrusy and Dank. Well Balanced.",0,6
195,80,8.2,"Extensively dry-hopped double IPA. Second Fiddle is second in name only. ItÃ¢ÂÂs big, juicy and aromatic. Citrus, Tropical, Pine",0,10
196,90,8.1,"American Double IPA with tropical fruit notes. Straw colored with a hazy glow. Pineapple and Cantaloupe are dominant characteristics. This beer finishes with a slight tartness.

25% of sales from Mastermind Double IPA are contributed to the Team Mastermind Fund which provides charitable grants to organizations that support pediatric health and broad community wellness",0,5
203,70,8.1,American Double Wheat India Pale Ale,0,6
204,65,6.2,"A ghostly apparition reportedly skirts the shores of New Haven harbor; a whispy widow eternally searching for her lost-at-sea husband. It is truly a sad tale of loss. But hey! At least she's got a beer named after her, huh? Our flagship beer pours in with a citrus, fruity nose and a crisp floral finish that is well balanced with it's Pilsner, Munich, and Crystal malt blend",0,10
205,85,8.8,"The beer. The 'Bot. The legend. This sought-after Double IPA packs in a whole mess of hops in order to churn out a bombastic citrus taste full of orange peel, mildly dank whiffs of pine, and a deceptively easy-flowing flavor. There's just enough haze in this one to satisfy the ""Hops Heads"" while it's not to bitter/crazy for first-timers to enjoy this fruity brew",0,9
206,60,6.2,"Yup... we're the ones who make this. A member of our single hopped beer club, this IPA is both brewed and dry hopped with nothing but Citra hops... that's it... all Citra, all day. And that's what gives you the big, mango, papaya, and citrus taste that makes tongues celebrate and lines of beer fans form up just to sample this beauty",0,5
207,80,8.2,"One of our ""single hopped"" beers, this Double IPA gets brewed with only the Nelson Sauvin hop grown solely in New Zealand. A bright-tasting beer that has a big, ole taste of white grape. And yes, the label image is of a Hobbit holding a hop vine while being eaten by a T-Rex. It just seemed... there was this... um, honestly, we don't know what that's all about",0,10
209,65,5.8,"If there were an astronaut that was exceptional, they would be quite super, correct? Perhaps even a ""Supernaut"", yes? Maybe even find inspiration in an old, Balek Sabbath song? Sure. And this is a pretty super tasting beer with rich, full passion fruit, pineapple and mixed berry flavor. This all Mosaic hop favorite pops up throughout the year and fits well into any season",0,11
210,80,8.2,"Bigger is better, right? We figured we'd put that adage to the test. So, we decided to take our FBD IPA and make an ""Imperial"" version of it and that's just what we did. Double Fuzzy is a bit stronger, a bit heavier on the tropical fruit flavors"" and hopefully even more pallet-pleasing. Grabbing two is appropriate",0,6
212,82,8.2,"This is a monster of a Double. Big, hearty, and it's got girth. Huge tropical fruit taste and aroma converge in this beer with an abundance of Galaxy hops in the blend. Easy smooth drinking for an 8.2% beer. And no flying bugs",0,6
216,85,8.2,"Drop this fruit bomb on your tongue and enjoy the explosive tropical vacation tastes! No, seriously. Dose is trip-tastic journey into DIPA-vile and you are the sole traveler. Guava, passion fruit, papaya, and citrus swirls guide you through a pint of this. Whoa, man. I'm tracing",0,9
218,65,6.8,"This IPA has all of the Ekunot hops right up front, banging from the first sip. Ekunot is a newly created hop that has lots of pine, dark fruit, and a handful of citrus tastes all rolled into one hop. A crackin' good beer that lived previously as ""# 8"" in our old, in-house, Fat Ten-er series",0,9
225,60,10.5,"This monster of an IPA leaves you wondering why you feel so warm and Fuzzy...oh yeah, it's 10.5%. Big notes of ripe citrus and mango bombard your face with a smooth and sneaky finish",0,11
226,45,8.2,"Introducing Stegosaurus! Our latest and greatest DIPA and a radical lizard from the late Jurassic period, this bad boy is 8.2% dry hopped with Citra, Mosaic and Azacca. Think super smooth with huge tropical fruit notes",0,5
227,80,7.0,"We bring this tropical treat to you as a reminder of SpringÃ¢ÂÂs coming, its rebirth and promise of sunny days forever. Lush is made with a hand-selected blend of malts and lush, tropical hops to help you bridge the last days of Winter and the coming of the Spring fever. We hope you enjoy this tropical treat, keep your sunglasses handy, and wash away your cares in the coming Spring rains",0,9
228,80,6.2,"Named after FremontÃ¢ÂÂs most famous outdoor sculpture, Waiting for the Interurban, Interurban India Pale Ale offers the adventurous beer lover a warm embrace of roasted pale malt swirled with a hand-selected blend of flavor malts and filled with the rich spice of Chinook, Centennial and Amarillo hops. Interurban India Pale is a session beer, eminently drinkable throughout the year",0,10
231,85,6.8,"Head Full of Dynomite (HFOD) is an ongoing series of hazy IPAs, each one different from the one before.
Ã¢ÂÂFriends bring happiness into your life, best friends bring beer.Ã¢ÂÂ Ã¢ÂÂ VW",0,8
233,100,8.5,"The Brother is a beast. Brewed with twice as much barley and 1/2 pound of hops per keg, the Brother will sit on your palette and beat you down. And youÃ¢ÂÂll like it. This ain't no toy, Boys 'n' Girls. This is a Northwest Imperial IPA. Hops First, Hops Last and Hops All The Way Through",0,11
234,80,8.5,"Family always comes first. Just when you thought that your poor tongue couldn't stand any more humulus lupulus, The Sister comes home to prove you wrong. Using the same unbreakable malt backbone of The Brother to balance out a truckload of Calypso and Bravo hops, The Sister weighs in at approximately a billion IBUs",0,6
238,60,7.0,"TROPICAL FRUIT, CANDIED ORANGE, TANGERINE, AND AN ECHO OF MALT SWEETNESS

Mod Pod IPA honors our three pods of Southern Resident Orca whales living full-time in the Puget Sound, the J, K, and L Pods.
Currently numbering 78 whales, our whales are a treasure worthy of reflection and thought. In particular, we think of Granny (J-2) who was the leader of the J, K, and L Pods and is considered to have been the oldest orca in the world when she died in 2016 after 107 years of gracing our waters. Granny was the Matriarch of the Southern Resident Community, and we brew Mod Pod IPA in her honor. Enjoy and observe",0,11
239,50,4.5,This session and is made with Citra and Simcoe hops grown in Washington's Yakima Valley which will enlighten your mind and make you a smarter and better looking person... Because Beer Matters,0,11
240,61,7.0,"2-Row Pale malt, Rolled Oats, and White Wheat with Simcoe, Sabro, and Centennial hops make the base for Space Danger! IPA.",0,7
243,60,4.0,"A crisp and refreshing spring wunderbeer, 77 Select is Fire Brewed in the pits of Fremont Brewing to achieve its rarefied Session IPA status. With this brew we respect Seattle's old Horlucks & Sicks Brewing Companies, predecessors of Rainier Brewing, and their flagship beers 66 Select and Rainier. ""Alcohol may not solve your provlems, but neither will water or milk."" Ã¢ÂÂ VW",0,9
245,65,7.0,"Spring is the season of Renewal and Invention, and thatÃ¢ÂÂs cool with Fremont, so we decided to offer not one, but three different beers for our Spring Seasonal this year. The February beer is Mountain Daisy IPA. We brew this beer with an eye towards the return of the flowers to the mountains as the snow begins to melt and the eternal power of Spring flexes her muscles. Ã¢ÂÂBefore you criticize someone, you should walk a mile in their shoes. That way when you criticize them, you are a mile away from them, and you have their shoes.Ã¢ÂÂ Ã¢ÂÂ Jack Handy

Down & Dirty: 2-Row Pale and Vienna malts with Rolled Oats and Columbus, Simcoe, Centennial, and Citra hops.
ABV: 7.0%
IBU: 6",0,8
248,40,7.0,"ItÃ¢ÂÂs a simple universal fact that ninjas are badass. You know what else is badass? Revision beer. Our buddies at Shoe Tree Brewing kicked around ideas with us to develop this tasty, tantalizing, karate chop in your freaking mouth. Kaleidoscopic nunchuck hits to the dome with Citra, Galaxy, Mosaic and Amarillo. Stealthily slaying your taste buds, one sip at a time",0,8
249,50,6.5,"Low impact bitterness, high impact aroma and flavor. Simcoe lays the hop foundation for this extremely delicious, flavorful and quaffable American India Pale Ale. Tropical citrus, orange and pine flavors meld seamlessly",0,8
250,133,11.3,"The art and science of awesome. Somewhat of an anomaly, Doctor Lupulin is brewed with loads of hops but is not too bitter. A high ABV brew that is easy drinking without excessive alcohol heat. Is that mango having a pleasant conversation with dank? Yep. The experiment to create beer perfection is alive",0,9
251,23,8.4,"Imperial NE-Style IPA with Simcoe, Mosaic and Citra hops. Embracing the no-holds-barred, pure, dirty, clean, crass culture of the greatest place in the world, this beer is a reflection of the city it was born in. It's real, down-to-earth and unfiltered. You don't buy this beer, you earn this beer. This beer is Reno as Fuck",0,6
252,75,8.0,"This Double India Pale Ale is late-hopped with SimcoeÃÂ® and MosaicÃÂ® hops, creating massive citrus and pine aroma with resiny notes of orange, tangelo, and peach",0,11
253,30,8.0,"Citra, Mosaic, and Amarillo hops form a power trio of tastiness in this double dose of liquid goodness. No illusions here, see with your mind and flavor and aroma receptors whatÃ¢ÂÂs really going on. The answer is stoke",0,11
254,40,8.5,The bulk of the hop aroma and flavor in this brew come from the land down under. Galaxy and Vic Secret hops from Australia exude pineapple and passionfruit goodness while a solid chunk of oats in the grain bill makes for a smooth mouthfeel,0,5
255,30,7.0,"This fruit-forward single IPA features deep flavors of citrus from the hops yet is easy drinking. Don't wait until later, enjoy right meow!",0,8
256,35,6.5,"ItÃ¢ÂÂs fun to party with your friends. The gangÃ¢ÂÂs all here in this highly drinkable Northeast IPA. Citra and Mosaic of course, and our buddy Amarillo, life of the party Galaxy and recent addition to the squad Vic Secret. Hang out, drink up, and party on",0,8
257,42,7.75,"This is the good life, full of friends, great experiences, and super tasty haze. Highlighting Mosaic and Cashmere hops, this brew delivers notes of passionfruit, peach, lemon, and guava over a supah smoove malt base",0,6
258,25,6.5,"Hitch a free ride onboard the Mothership Connection to Planet Lovetron. Ease your mind and soul with bright citrus and stonefruit flavors of Amarillo, Mosaic and Citra hops, floating on a pillowy bed of malted goodness. You might love these hops, but they love you back even more. Soak in the positive vibes and exercise your posifunkentronic membranes while digging your place in the universe, tasty beer in hand",0,6
259,50,6.5,"Creating a flavor crater of awesomeness, this West Coast IPA hopped exclusively with the one and only Citra hop is built for enjoyment. Tropically sweet hop flavors and aromas bring to mind ripe tangerine with an edge of passionfruit. Go ahead and crush it, gulp it, guzzle it, slam it",0,8
260,45,8.5,"To become your best self you may need to vanquish your old self. You look at your reflection in the mirror, smash the mirror and walk forward.

A hefty yet light on its feet double hazy IPA, Battle of the Lords will slay ya with flavah and crush yer aromatic senses with a definitive hop punch. Galaxy and Vic Secret provide a one-two combo with notes of passionfruit, pineapple, orange and lime",0,10
261,30,6.5,66.66% Citra and 33.33% Mosaic hops. Waves of orange and tangerine flavor hit the lake shore like sweet nectar. Dive in.,0,5
262,35,8.0,"We found an old mechanical hop picking machine in the fields of England, in the shadow of Stonehenge. With a lot of work, a modicum of sweat and a little monkey grease, the newly refurbished machine has been repurposed to deliver hop flavor to your mouth as efficiently as possible.

Featuring a heap of citrusy Citra and mounds of mango-ish Mosaic hops conveyor belted on a base of wheat and flaked oats",0,7
263,85,9.1,"Can I get a What What? What? Yep, you heard right. A collection of C hops and a dash of Equinox create waves of hop flavor and perhaps a bit of a smackdown over a lightly sweet malt backbone. Sniff. Sip. Sniff. Sip. Sniff. Sip. Dang, all gone. What I say",0,9
264,75,10.5,"NE-Style Hazy Triple IPA.

Pop a top off a can of hops, the waft of aromatic intensity is inevitable. Citra, Simcoe, Amarillo and Mosaic hops deliver sticky, resiny, sweet citrusy hop flavor. Our hazy hoppy beers taken up a notch. Set 'em up my friends",0,6
265,67,11.0,"It's late. Probably close to 3:00 AM, but your phone is for making questionable calls and looking at funny videos, not for checking time. Yeah, one more sounds like a good idea. Maybe even a GREAT idea. And whoa, you're a unicorn. Brewing this beer with Mosaic, Vic Secret, and Amarillo was a good decision",0,6
266,32,6.5,"Introducing the high priest of hops , the hero of humulus lupulus, the sultan of strig, the brahma of bracteoleÃ¢ÂÂ¦Here comes Lord Lupulin! Featuring our hoppy friends Galaxy, Vic Secret, El Dorado and Citra",0,6
267,55,7.25,"Dig the dank. Savor the stank. Leafy Greens presents an increase by orders of magnitude in dankness. The aroma of certain hops, particularly CTZ, has long been described as similar to marijuana. Scientific examination has indeed proven that Humulus Lupulus and Cannabis Sativa are relatives, both members of the Cannabinaceae family. Ponder these branches of the family tree while enjoying this mellow IPA with friends, music, solid visuals and readily available munchies.",0,6
268,36,8.5,"We think about beer, a lot. Synapses firing, thoughts bubbling, ideas percolating in an ever-evolving quest to make somethin' super tasty. This beer was brewed with Citra, Simcoe, and a bit of milk sugar. We hope you enjoy our latest liquid thought",0,8
269,40,8.0,"Yea, though I walk through the valley of the shadow of dank, I will fear no haze, for hops art with me. Thy flavor and thy aroma, they comfort me. A vision in the distance; an orange groove? A hop farm? It sure smells good. Saints and sinners are all welcome to this soul shakedown party",0,7
270,38,8.0,"We all need a little help on the way, some support while briefly traveling through this world. More than a walking stick, the Staff of Life lifts your spirits with a blend of Mosaic, Equinox and CTZ over a pillowy malt base. Smooth yet packed full of hop flavah and aroma, this is the refreshing beverage to quaff on the journey to the promised land",0,9
271,42,6.0,"Out there. Art festival? Self-expression fully realized? Dance party? Giving/sharing economy? Blinky light madness? Alkaline dust-covered humorous mayhem? Yes and no. Bring all you will need but less than you think, and save a cooler for cans of Playafication. A thirst-quenching. Refreshing Northest-Style IPA born of 100% Mosaic hops",0,11
272,23,7.5,"(Double IPA - NE Style)

A big bang of Amarillo, Mosaic, Citra, and Galaxy hops in every vessel. This beerÃ¢ÂÂs gravitational force thrusts pizza and beer lovers around the Northeastern dimension and straight into a Planetary Fog. Cheers",0,10
273,80,7.0,"Our West-Coast inspired India Pale ale offers lots of flavor and aroma without over-powering the senses. A complex blend of 5 hops lend a firm bitterness to the notes of grapefruit, tangerines, and pine. A big dry hop addition of Citra and Simcoe hops give Mystic Mama a nose to stand up to the flavor",0,10
279,110,9.0,"Designed to highlight single hop varietals, this Mandala features Citra hops. Citra exudes notes of mango, orange sherbert, and peach. The flavor follows suit as your pallet is covered in a sweet resinous wash",0,9
282,35,6.8,"Our flagship American IPA. Hopped with Amarillo, Centennial, Cascade, and Simcoe.",0,10
287,30,7.0,"Juicy IPA hopped with Citra, Azacca, and El Dorado.",0,11
289,25,8.5,"Hazy NE-style double IPA dry hopped with over 5 lbs/bbl of Azacca, El Dorado, and Citra.",0,5
292,35,8.5,A sneaky double IPA brewed with tangerine and dry-hopped with 6 lbs/bbl of juicy hops. Prominent notes of orange & tangerine supported by layers of tropical fruit and pine,0,8
295,25,7.0,Hazy NEIPA double dry hopped with Motueka and Wakatu.,0,10
297,25,7.0,"Hazy NEIPA hopped with Amarillo, Citra, and El Dorado.",0,6
298,25,7.0,Hazy NEIPA hopped with Galaxy.,0,9
299,25,7.0,"Milkshake IPA brewed with pineapple, vanilla, and milk sugar.",0,9
300,25,7.0,Hazy holiday IPA.,0,7
303,25,7.0,"Milkshake IPA made with lactose, vanilla, and peanut butter.",0,7
305,65,6.6,"Balanced, soft, and juicy. Hopped with Citra, Centennial, and Galaxy.",0,9
306,80,8.0,"Cosmik Debris is an 8.0% ABV Double IPA featuring Simcoe, Strata, Mosaic, Cascade, and Chinook hops. Intensely hopped, this Double IPA presents a mind-blowing aroma of citrus zest, melon, and subtle pine",0,5
314,80,8.0,"Double IPA riff on TropicÃÂ¡lia IPA. Citra, Centennial, and Galaxy hops.",0,9
315,100,7.2,ItÃ¢ÂÂs pretty good. You should try it. Get Elevated!,0,11
316,100,7.5,"Project Dank is just that; a project. An ever-changing expression of our hoppiest endeavors, each recipe is different, featuring different hops and hopping techniques. One thing remains common... HOP INSANITY",0,10
319,40,6.5,"Lush with bright fruit from the interplay of our house yeast and irresponsible levels of dry-hopping, Sun Fade quenches the dryness of the Southwestern desert like no other beer can",0,5
