,Name,style,IBU,ABV,Description
40,DoppelSticky,Lagunitas Brewing Company,66,7.7,"This fruity, estery double altbier is brewed in the traditional-ish style of the Doppelsticke, which is the widely known secret Germanic-esque strong ale. Like it’s California Common counterpart, we fermented this ale at a lower temperature to pull out the sulphur-y bite from the yeast, then dry-hopped it with some dank, Sticky hops, including some brand-spankin’-new Enigma hops from the great Down Under"
47,Geistbier,BrainDead Brewing,52,10.6,Our Fruhlingzeit Altbier aged in Witherspoon bourbon barrels. The most fitting beer to mark 10 years since our brewmaster first started washing kegs and cleaning draft lines at Morgan Street Brewing
50,Sticke Biscuit,Sierra Nevada Brewing Co.,40,9.8,"Historically brewed for special occasions, a sticke alt is a “secret” stronger version of the German Altbier style. Altbiers are fermented with a unique yeast that blurs the line between ale and lager, striking a delicate balance with assertive malt and hop flavors. Traditionally a neighborhood specialty, old-time Alt breweries would often add their own twist on the style to distinguish it from local competition. We pay homage to that tradition with our variation which we brewed with three different types of biscuit malt and aged in bourbon barrels for six months. The result is a complex amber-hued beer with subtle notes of toffee, baking spice, and toasted sourdough. Read Less"
52,Acceptance,Wild East Brewing Co.,33,5.0,"German-style amber ale brewed with Tettnang hops. Crisp & complex malt with notes of almond, light caramel, sourdough toast & faint cherry-like esters. Moderately-low hop bitterness with a smooth, nutty finish."
56,Maltlanta Doppel Sticke,Wrecking Bar Brewing,50,9.3,"The big brother to our Altlanta Dusseldorf-style Altbier, Maltlanta is a Sticke Altbier brewed to be larger and grander in every way. Rich malt aroma of toffee and biscuits are balanced by a light herbal hop nose coming from the glass. In typical Altbier fashion, the beer is notable for big bright malt notes of caramel and shortbread while finishing crisp and dry for such a large beer. This is a highly refreshing and satisfying brew; you might even forget how big and bad the beer is, so exercise caution"
57,Altimatum,Weathered Ground Brewery,25,5.0,German-Style Altbier brewed with ale yeast at a cooler temperature and then aged cold. Our Altbier is crisp like a lager and plays a balancing act of being not too sweet and not too dry hence the description of being medium bodied. A well made Altbier just hits the spot
58,Bourbon Street Alt,Abita Brewing Company,25,8.5,"Our Bourbon Street Alt is a bourbon barrel-aged Dusseldorf-style Alt beer, brewed with pale and German specialty malts including Munich, Carared, and Melanoidin. It is cold fermented and cold aged to produce a smooth malt flavor. Next, the beer is aged for another eight weeks in small batch bourbon barrels. The result is a strong German-style alt with sweet flavors of malt and warm bourbon flavors from the barrels"
60,Hexenbrau Altbier,Gemüt Biergarten,35,5.5,"Subtly sweet, creme brule"
61,Decadent Tourist,Levante Brewing Company,33,5.0,"Strolling alongside the Rhine River in Düsseldorf, Germany, a tourist finds malt-forward decadence in the form of this crisp, reddish-brown classic style. You can stop in any brewpub along the Rhine and find your local taste of authenticity, a pint defined and refined through centuries of brewing. We’ll save you the trip to Düsseldorf, so you can drink like a Decadent Tourist at home in West Chester, PA"
62,Roselare Fourth Anniversary Doppelsticke Altbier,Pollyanna Brewing Company,75,8.5,"We like Altbier, so we brewed another Altbier, but made it even more Sticke! So Sticke, it's Doppelsticke! Sticke to me! A lager/ale hybrid, this big ol' traditional Altbier Doppelsticke is copper-amber in color thanks to German Pilsner, Munich, and Caramunich malts. Worthy of an anniversary, this beer is super smooth with a fresh, firm Noble hop bitterness to balance the light malty sweetness"
66,Blank Space,New Anthem Beer Project,48,5.6,Traditional Altbier on the bigger side. Crispy bready/roasted nut maltiness with noble hop bitterness and light spice. Light brown with medium light body
67,Doppelsticke Altbier,THAT Brewery,34,8.5,"Super-strong (""double"") Alt-style ale, rich copper nutty-malty sweetness, well hopped with spicy aftertones."
68,Frosch Bier,Bullfrog Creek Brewing Co.,31,4.9,Our take on an Altbier. Malt forward with big caramel notes but a smo
71,Whiskey Sticke Alt,Dru Bru,64,9.5,"A dark roasted ale that boasts rich malt flavors of caramel, chocolate, and coffee with piney hop undertones. Brewed in 2018, then aged for 8 months in Woodford Reserve barrels to pick up notes of vanilla, oak, and bourbon"
73,Altbitter,Widmer Brothers Brewing,55,9.5,"AltBitter, a collaboration beer between Deschutes Brewery and Widmer Brothers Brewing, is a blend of imperial barrel-aged versions of Bachelor Bitter and Widmer Brothers’ Altbier"
78,Revenge of the Emu,Cuzett Libations,25,5.4,"An all Australian single hopped Sparkling Ale dedicated to The Great Emu War of 1932. (batch 1&2 used Galaxy, batch 3 comi"
79,Down Under the Covers,Shy Bear Brewing,24,5.4,Australian Sp
80,Corcovado Sparkling Summer Ale,Imagine Nation Brewing Co.,33,5.9,Australian Sp
81,Great Emu War,Hourglass Brewing,30,7.0,"November 2, 1932, the Australian military traveled to Campion armed with machine guns. Some 20,000 emus had recently migrated inland and were obliterating wheat crops. The hordes of emu managed to evade the bulk of the military attack over the six-day period, during which 2,500 rounds of ammunition had been fired and merely a few hundred birds killed. The Great Emu War was crafted in honor of this seemingly spurious encounter. This Australian Sparkling Ale was generously carbonated and uses Pride of Ringwood hops, once renowned as the hop with the highest alpha acid content in the world. Enjoy its history, its bubbly character, and its profoundly resinous, fruity aroma. Read Less"
84,Foot Men Series - Sparkling Ale,Foothills Brewing,20,5.9,"Light bodies, effervescent ale. Very clean, mild malt profile with a slightly bitter hop presence with little hop aroma. Mild esters and flavor contributions are evident from the yeast, too. This would/should fly with these 90°F days hitting us. Read Less"
86,Boom Crash Hopera,Beachwood Brewing,77,9.0,Australian Sp
88,Budgie Smuggler,HomeGrown Brewing Company,30,5.8,Australian Sp
89,Arvo Tinny,Noon Whistle Brewing,51,6.0,Australian Sp
91,Bogan,Gunbarrel Brewing Company,44,4.5,"bright lemony citrus notes clean, crisp off-dry finish light &"
92,Adelaide Pale,Zero Gravity Craft Brewery,30,5.1,Australian Sp
95,Acca Dacca,New Realm Brewing Company,20,5.3,Australian Sp
97,Ramblin Rose,Around The Bend Beer Company,10,5.0,Light and e
99,Adamanthea,Mystery Brewing Company,30,4.2,"Our version of this Australian take on British Ordinary Bitter, with a light, malty body, a big helping of carbonation, and the bright, citrusy finish of Pacific Jade hops. Read Less"
104,Life,North High Brewing,12,7.5,Blending champagne yeast with our house American ale strain creates a soft effervescence worthy of any c
105,Captain Sparkles,Sun King Brewery,30,6.1,"Australian seamen tell the tale of Captain Sparkles, whose heroic actions at the helm of HMAS Coonawarra saved 39 Royal Australian Officers from certain death upon the rocky coast of Queensland during the great hurricane of 1835. It is only through a recently discovered photograph that we have learned that the intrepid Captain Sparkles was not a man, but a mustachioed Koala.

Sun King celebrates Captain Sparkles and other brave mustachioed folks like him this Movember with Captain Sparkles Australian Style Sparkling Ale, a refreshing golden ale with a smooth malty character and slight hop bitterness. Read Less"
106,Vitamin Sea,Southern Pines Brewing Company,20,4.5,Australian Sp
107,Union Series #3: Southern Cape,Summit Brewing Company,47,4.4,"Inspired by sparkling ales that are traditionally brewed in South Australia, this ale has aromas of pineapple and mango with a light toasted flavor. Unfiltered and lightly hopped, it is highly carbonated. Read Less"
108,Laughing Water,Scarlet Lane Brewing Company,35,5.2,Australian Sp
109,Bright Pineapple,Devils Backbone Brewing Company,3,4.1,"Dry and effervescent, this extremely light ale is all about the fresh pineapple aroma and refreshing"
110,Bright Tangerine,Devils Backbone Brewing Company,21,4.0,Australian Sp
111,Fulton & Wood My Shout,Goose Island Beer Co.,32,5.0,"Winters are a time when we turn to warmer climates and places we don’t have to worry if seven layers of clothing will be enough. Our brewers wanted to bring you there without leaving your bar stool with their latest F&W release, My Shout. Named for an Australian way of calling the next round of beers, My Shout brings a style to Chicago that has rarely been seen in the US. Brewed specially with an Australian sparkling ale yeast, hints of apricot and stone fruit combined with mild but spicy and citrusy hops make My Shout a refreshing way to forget about the subzero temperatures here and take a 16-ounce trip to summer down under. Read Less"
120,Double Barrel V.S.O.J. Cherry Rye,Revolution Brewing Company,55,14.5,"Tart cherry rounds out the most ridiculous beer we’ve produced to date. Slightly sweet, slightly tart, and subtly fruity, this sipper is satisfyingly staggering. Read Less"
125,Bishop's Barrel No. 10,Saint Arnold Brewing Company,32,12.7,"The base beer for Bishop’s Barrel No. 10 is 20th Anniversary Ale, a barleywine fermented with our Saint Arnold house yeast. The base beer is brewed with Maris Otter, pale two row, Munich and Chocolate malted barley and features Centennial and Cascade hops, with a dry hopping of Simcoe.

BB10 beer pours a deep ruby color with a lingering khaki colored head. The aroma is caramel, bourbon and vanilla with slight wood and dark cherry notes. The taste is dark fruit with bourbon notes and lots of toffee sweetness that lingers without being cloying. This beer has a full body with soft carbonation. Read Less"
126,Beer Line Barley Wine (Organic Rye Whiskey Barrel Aged),Lakefront Brewery,53,14.0,"This is our most ambitious beer release in 27 years. We held it for 18 months in Catoctin Creek distilling Company organic rye whiskey barrels, making it the fist organic barrel-aged barley wine in the United States. The extended barrel aging imparted aromas of rich vanilla and caramel that captivate the nose. While the oak, contributed full malt, and toffee flavors. The finish is elegant, rich, and warming. Read Less"
128,Double Barrel V.S.O.J. Rye,Revolution Brewing Company,55,16.6,"Two years, two barrels, frickin’ yuge, man. A stupefying Barrel-Aged Barleywine boasting extraordinary barrel and spirit character, but with a refinement and balance from extended aging and ample residual malt presence. First year's rest in a mix of either Old Forester or Woodford Reserve, 2nd year resting in Heaven Hill Rye Barrels. Tread lightly. Read Less"
129,Maltose Falcons,Firestone Walker Brewing Company,32,13.6,"A tribute to 40 years of inspiration and innovation. English Brown malt, drum roasted Caramel malt, Chocolate malt and a healthy dose of brown sugar, together with West Coast American hops created a luscious Barley Wine class Brown Ale. Loads of rich, silky cocoa dusted malt character with a sturdy yet elegant balance on hop spice and boozy barrel accents. Aged seven months in Rum, Brandy and Bourbon barrels and bottled for the Maltose Falcons 40th Anniversary. Read Less"
133,Brewer's Reserve Brandy Barrel Barleywine,Central Waters Brewing Company,80,14.8,Barleywine
143,Iced Bourbon Barrel Barleywine,Central Waters Brewing Company,80,17.8,Barleywine
153,Barrel Aged Old Numbskull,AleSmith Brewing Company,96,11.0,Barleywine
154,The Virtue of Patience,Burial Beer Co.,30,12.0,"Glory is impermanent. We age, we wither, we perish. And our death bed is adorned in our finest moments. We welcome our Forestry Camp to the world with this fine strong ale. Aged in Bourbon Barrels for 15 months. This foray of our head production brewer exudes muscadine, toasted marshmallow, oak, dark chocolate and vanilla on the aroma, leading into flavors caramel, toasted coconut, vanilla, bourbon, and dates. Read Less"
155,Deep Flux,Boulevard Brewing Co.,20,14.3,Barleywine
160,Mineshaft Gap,Revolution Brewing Company,30,14.3,Barleywine
161,Four Year Aged Bourbon Barrel Barleywine 2022,Central Waters Brewing Company,80,14.9,Barleywine
163,King Henry,Goose Island Beer Co.,60,13.4,"Aged in Pappy Van Winkle 23 bourbon barrels, previously used to age Rare Bourbon County Brand Stout. King Henry is a burgundy hued English-style barleywine with aromas of vanilla, oak, and dark fruit. Caramel and toffee flavors blend together with bold notes of bourbon delivered in a smooth body followed by a malty finish. No matter the occasion, King Henry promises a regal drinking experience. Read Less"
167,V.S.O.J. (Very Special Old Jacket),Revolution Brewing Company,23,13.8,Barleywin
169,Brew 5000 (2021),Fremont Brewing,30,12.2,Barleywin
174,Brew 4000 (2020),Fremont Brewing,33,12.7,"This English-style barleywine ale uses floor-malted English barley, Noble hops, and extended barrel-aging to bring you a complex and subtle craft beer flavor experience. We brewed this to celebrate brewing our 4000th brew, and we look forward to sharing it with you, our craft beer family. Read Less"
180,Arcane Rituals (2019),Bottle Logic Brewing,30,13.59,"The crackling magic of Chevallier Heritage Malt courses through this English-style barleywine. A combination of bourbon, brandy, and VSOP cognac barrels cast a spirited spell over the brew and mix to manipulate space and time, opening a viscous liquid portal into what surely must be immortality. Read Less"
184,Straight Jacket (November 2019),Revolution Brewing Company,25,15.8,"Our original award-winning Barleywine Ale–made with American and Belgian malts and forged over 12 months in bourbon barrels. Open one and dig into layers of stone fruit, molasses, and vanilla. All the rich decadence of crème brûlée without the exhausting need to actually make pudding and take a blowtorch to it. This is the Barleywine for the people. Read Less"
185,Anabasis (Blend #1),Side Project Brewing,40,14.0,"Anabasis is a Barleywine that was brewed with American malts and hops, but fermented with a strong English Ale strain. This Barleywine was aged for 18 months in a single Wine and Cheese Place Blanton's barrel before being bottle conditioned for several more months before being released. Read Less"
186,The Obscure,Green Bench Brewing Co,38,10.2,Collaboration with American Solera. Rum-barrel aged English-style 
188,Straight Jacket (2018),Revolution Brewing Company,30,13.1,"Our Barleywine Ale features American and Belgian malts which provide the base of this extraordinary ale. After 12 months in bourbon barrels the award-winning Straight Jacket emerges with notes of stone fruit, toasted coconut, molasses, and vanilla coming in waves as you swirl the glass. Read Less"
189,Intrepid Orchid (2020),Bottle Logic Brewing,20,13.25,"Intrepid Orchid is a formidable 13.25% ABV barleywine built on Chevallier Heritage malt, then aged with Madagascar vanilla beans using the same intricate method we apply to Fundamental Observation, our legendary Imperial Vanilla Stout. Read Less"
190,Altar of the Orc Lord Aged In Bourbon Barrels: Rocky Road Edition,Modern Times Beer,45,12.5,Barleywin
194,Bourbon County Brand Barleywine,Goose Island Beer Co.,60,13.6,Barleywin
196,Omega Point,Olde Hickory Brewery,60,10.0,Barleywin
198,Sucaba,Firestone Walker Brewing Company,42,13.5,"Confoundingly unpronounceable yet eminently drinkable—welcome to §ucaba, an epic barrel-­aged English barley wine whose original name was undone by a two­‐bit legal challenge. Big, boozy bourbon and American oak aromas combine with soft chocolate malty undertones. Complex malt ﬂavors are framed in oak with hints of dark chocolate, vanilla, tobacco, coconut and just a touch of dark cherry. §ucaba is built to last and can age for years to come (we recommend counting the years with an abacus). Read Less"
203,Brew 6000 (2022),Fremont Brewing,30,11.9,Barleywin
205,Bourbon County Brand Coffee Barleywine (2018),Goose Island Beer Co.,60,15.1,"Working with our friends at Intelligentsia, we flew down to Guatemala to source some of the world's best coffee to use as we release the first-ever Coffee Barleywine. The beer is an English-style Barleywine, meaning malt forward, and aged in 4+ year old Heaven Hill Bourbon barrels before adding La Soledad coffee beans right before packaging to retain a bold coffee aroma and flavor. Read Less"
206,Leon,Cigar City Brewing,42,14.8,"Leon Jay Coker. Craftsman, soldier, father. Born in Lily, Florida. Died in Arcadia, Florida. "
217,Grand Prestige Vatgerijpt,Goose Island Beer Co.,23,11.3,"Grand Prestige is a classic recipe from out friends at Hertog Jan in the Netherlands. We brewed this beer to their specifications here in Chicago, but we added a new depth to the flavor by barrel aging it in a combination of first and second use bourbon barrels. Read Less"
225,Pillar of Beasts,3 Floyds Brewing,18,13.7,Barleyw
231,Barrel Aged Naked Evil BBW Belgian-Style Barleywine,Hoppin' Frog Brewery,48,11.3,"Aging in oak barrels added a memorable richness, that we seek to achieve with this barrel aged Belgian-style barley wine-style ale. Being the ideal celebration beer to release on our 5-year anniversary, Barrel Aged Naked Evil is fermented with both British and Belgian yeasts and aged in whiskey barrels for a lightly spicy twist on this old-world beer style. Sweet malt flavors will become smoother and rich dark fruit characters will build with time, to add a wonderful complexity and depth of flavor. Read Less"
238,Charleywine,Cigar City Brewing,17,14.2,Barleyw
240,The Lunar Pendulum of Vacant Light,Burial Beer Co.,10,12.0,Barleyw
244,Excessive And Lustful Kissing,Cigar City Brewing,24,14.4,Barleyw
250,The Virtue of Patience (2020),Burial Beer Co.,30,12.5,"Glory is impermanent. We age, we wither, we perish. And our death bed is adorned in our finest moments. We welcomed our Forestry Camp to the world with this fine strong ale. Aged in Bourbon Barrels for 12 months. This foray of our head production brewer exudes toffee, toasted marshmallow, oak, dark chocolate and vanilla on the aroma, leading into flavors caramel, toasted coconut, vanilla, bourbon, and dates. Read Less"
255,There's Nuttin' Butter Than A Nice Pair of Cam Pants,Westbrook Brewing Co.,15,10.0,"Nutter Butter inspired barleywine with peanut butter, lactose and vanilla. Collaboration"
272,Flanders Blonde,pFriem Family Brewers,15,7.1,Bel
280,Flanders Blonde Kriek,pFriem Family Brewers,9,7.1,Bel
282,Reine des Renards,Off Color Brewing,14,8.3,Flemish Blonde fermented in a 14 year old French Calvados Foedre with native yeasts and raw a
284,Vanilla Latte Blonde Ale,Urban Growler Brewing Company,15,5.6,Bel
287,Devil's Fruit Basket,Steamworks Brewing Co. (Colorado),31,9.5,Bel
290,Golden Gremlin,Cherry Street Brewing,45,10.0,"A BSG on blackberries, aged in tequila barrels and dry hopped with hal"
292,Tangled Up In Blueberry,Alesong Brewing & Blending,3,5.9,Bel
298,Pining For the Fjords,12Degree Brewing,24,5.6,Bel
299,Hoppy Belgian Style Ale,pFriem Family Brewers,40,6.7,Bel
303,Fraggo,3 Floyds Brewing,40,6.5,"This Belgian-Gnomish style ale is as great as your garden gnome, but with strawberri"
304,"Hermanne 1882 [2012 vintage, 2014 release]",Oakshire Brewing,20,6.6,"2012 grape vintage, brewed 2013, bottled/released in June 2014. Hybrids are common in the world of viticulture, as growers attempt to produce the best and most tolerant grape. Hermann Muller, of Thurgau Switzerland did just than in 1882 as he crossed Reisling with Madeleine Royale to create the Muller-Thurgau grape. Now, a new hybrid has formed at Oakshire as our Brewmaster work with Anne Amie Vineyards to create this beer/wine hybrid. We used Anne Amie's classic Muller Thurgau grapes and artfully blended it with a Belgian Golden Ale and matured it with Brettanomyces in Anne Amie's Pinot Noir barrels for a year. Hermanne is light and crisp, with a complex fruity middle and dry tannic finish. Read Less"
309,Experimental IPA #3,Fat Head's Brewery,34,6.8,Summer Bel
312,Double Barrel Dubbel,Brewery Ommegang,20,9.9,Bel
316,Bourbon Barrel Aged St. Benedict's Breakfast Dubbel,Haw River Farmhouse Ales,24,7.2,Our Belgian-Style Dark Ale brewed with coffee and oatmeal and than aged for eight months in Oak Heaven Hill Bourb
321,Bourbon Barrel Deduction,Taxman Brewing Company,20,8.5,Bel
325,Lorica Aged in Jameson Barrel,The Black Abbey Brewing Company,20,8.0,Bel
327,A Pleasant Country,Brookeville Beer Farm,20,8.0,Sagamore rye barrel aged Belgian double with Marciano cherries added in t
331,"""Coconut Curry"" St. Benedict's Breakfast",Haw River Farmhouse Ales,18,7.2,Bel
332,Bishop's Barrel No. 16,Saint Arnold Brewing Company,23,8.4,Bishop's Barrel No. 16 is another foray into the world of blurring beer and wine. We aged our Sorachi Ace Dubbel in Bordeaux red wine barrels - predominantly Cabernet Franc and Cabernet Sauvignon - for 11 months in the presence of brettanomyces. Read Less
333,Bourbon Barrel Abbey With Cherries,Martin City Brewing Company,15,8.8,Bel
334,Mixed Dubbels Curling,Rowley Farmhouse Ales,26,8.5,Bel
335,Priory of Orion,BrainDead Brewing,26,9.9,Bel
338,Windowpane Series: Fig & Raisin,Mother Earth Brewing,15,8.9,Bel
339,Red Rum Double Dubbel,Cherry Street Brewing,23,9.0,Bel
340,The FNG,Monkless Belgian Ales,25,8.0,Bel
344,Moscatel Barrel Deduction,Taxman Brewing Company,20,8.5,"Unlock the Vault, our barrel series committed to the careful, prolonged conditioning and blending of barrel-aged ales. Claim a special-release Deduction dubbel aged in Portuguese Moscatel wine barrels and blended to feature sweet, rich and dynamic notes of fig, marmalade and vanilla. Enjoy immediately or store under lock and key. Read Less"
347,Wooden Beanie,Boaks,28,7.0,We age our Abbey Brown or Two Blind Monks in Jack Daniels Barrels with Madagascar Vanilla Beans. This beer is very rare and we make very small batches. Read Less
348,Bishop's Barrel No. 20,Saint Arnold Brewing Company,26,8.5,"Sorachi Ace Dubbel Aged in Red Wine Barrels with Brettanomyces and Raspberries.

Bishop’s Barrel No. 20 continues to expand on our wine inspired beers. For this release, we adapted BB16 - a Belgian-Style Dubbel aged in Red Wine Barrels with Brettanoymces - and expanded on it by adding a small amount of raspberries, which was added to every third barrel.

The resulting beer pours a ruby/blood red hue with a sandy colored head. Dark fruit, red wine, and an earthy/spiced funk are pronounced in the aroma with subtle notes of cherry almond in the back. The flavor is candied dry fruit upfront, with an oak and wine finish. It finishes dry with a slight tartness and medium body. Read Less"
351,Sprout,Brewery Bhavana,30,7.6,"Sneaky fig dubbel ale Whole figs gives this refreshing Dubbel a tricky, sweet aroma and amber hue that belie it’s clean, "
352,Belgian Christmas Ale,pFriem Family Brewers,30,8.0,Bel
353,Dubbel On Tundra,49th State Brewing Company,22,8.0,Bel
354,Jimmy's Trip Home,Raised Grain Brewing Company,24,9.1,Bel
355,Barrel-Aged Tarantula Belgian Dubbel Ale,Ecliptic Brewing,19,10.0,Bel
358,The Bifurcation Project: Double Chocolate Habanero St. Benedict's Breakfast,Haw River Farmhouse Ales,18,7.2,Bel
361,Dubbel Or Nothing,Monkless Belgian Ales,23,7.2,Bel
363,Communal,Haw River Farmhouse Ales,14,4.4,Belgian Enkel /
365,Great Silence,Wise Man Brewing,27,6.4,Belgian Enkel /
368,Coconut Milk Lux,Save The World Brewing Company,36,5.8,"Milk blonde ale aged on toasted coconut. Lightly sweet, mild creamy mouthfeel, subtle coconut flavor. Delightful, intriguing, and "
369,Brother’s Bier,Monkless Belgian Ales,32,4.8,Belgian Enkel /
371,The B-Side,Stickman Brews,15,5.8,Black Patersbier. Toasty and nutty undertones with a subtle abbey yeast character and a mildly sw
373,Father Time,Cushwa Brewing Company,15,4.8,Belgian Enkel /
374,Muur,Separatist Beer Project,40,5.1,Belgian Enkel /
377,Patersbier,New Anthem Beer Project,35,5.6,Belgian Enkel /
378,Highway of Diamonds,New Anthem Beer Project,33,4.7,Belgian Enkel /
382,Lupulinophobia Ver 1,Alarmist Brewing,18,4.8,Belgian Enkel /
384,Odin’s Table Bier,Barbarian Brewing,20,4.2,Patersbier style beer that Belgian Monks make excusively for themselves to drink. Super light and refreshing B
388,Lupulinophobia Ver 4,Alarmist Brewing,18,4.8,Belgian Enkel /
390,Wandering And Cosmic Consciousness,Burial Beer Co.,17,5.2,Belgian Enkel /
395,Loonie,Dragoon Brewing Company,16,4.5,Belgian Enkel /
396,Trappist Ale,Spencer Brewery,23,6.5,"America's First Trappist Beer.
Our recipe was inspired by the traditional refectory ales known as patersbier (“fathers’ beer” in Flemish) in Belgium. These sessionable beers are brewed by the monks for their dinner table and are typically only available at the monastery. Spencer is a full-bodied, golden-hued ale with fruity accents, a dry finish and light hop bitterness. The beer is unfiltered and unpasteurized, preserving live yeast that naturally carbonates the beer in the bottle and keg and contributes to the beer flavor and aroma.
Read Less"
398,The Archer at the Gates,Burial Beer Co.,18,3.7,Belgian Enkel /
399,820 A.D.,Hourglass Brewing,14,4.4,Belgian Enkel /
402,"Luke, I Am Your Pater",Wit's End Brewing Company,15,3.4,"If it’s good enough for the monks, it’s good enough for us! In addition to being the most misquoted line from our favorite space opera…Luke, I Am Your Pater is a Belgian-style patersbier, or single. This style was originally brewed by the monks that needed sustenance without the “enlightenment” that the other bigger Belgian-styles offer. This beer has the essence of apricots, hard biscuits, and notes of honeysuckle. It is very dry and easy drinking, and with just enough hops to bring balance to the force, er, beer. Search your feelings, you know it to be true, you want this beer! Read Less"
